id,group,scenario,ctrl,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign,level,variant,weight,factor,forecast_shift,forecast_load_factor,event_mode,delay,trial
j00021,principal,multi_burst,heuristico,{},90.97959895689502,90.97959895689502,1,0.20550940327597353,0.20421109022992198,32,6,0,0,59.515824950778885,58.829675043486894,60,13.028594539481423,1500,0,0,0.013028594539481422,,,,nan,0,nan,nan,nan,nan,nan,4.18e-05,7.9e-06,1.02e-05,1.75e-05,7.88e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00021.mat,campanha_v1,,,,,,,,,
j00022,principal,multi_burst,heuristico_foresight,{},60.65306596721214,60.65306596721214,1,0.05272012833377145,0.05090451500122736,21,1,0,0,59.52024384141023,58.67376804474655,60,17.25943197654565,1500,0,0,0.01725943197654565,,,,nan,0,nan,nan,nan,nan,nan,4.26e-05,8.7e-06,1.1e-05,1.405e-05,4.26e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00022.mat,campanha_v1,,,,,,,,,
j00023,principal,multi_burst,miope_qp,{},108.89876702879235,108.89876702879235,1,0.11181569961457871,0.11181257841240368,6,3,3,0,59.74187425623582,59.04874506715448,60,14.722425201496351,3747.1860588605105,0,0,0.014722425201496352,,,,nan,0,nan,nan,nan,nan,nan,0.0011672,0.0005658,0.00070245,0.0008278000000000001,0.0011672,0.0010359,0.0005032,0.00061785,0.00074465,0.0010362,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00023.mat,campanha_v1,,,,,,,,,
j00024,principal,multi_burst,mpc_qp_v5,{},0.018156780309027454,0,1,1.580937663698325e-05,0,0,0,0,0,58.93780138418609,57.868900645312216,60,21.955742797713445,1159.684896590849,0,0,0.021955742797713444,,,,0.04372173386293099,1983,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0193105,0.0233513,0.0292185,0.03230555,0.0359829,0.0140122,0.01889925,0.0245311,0.0272715,0.0312972,0.0037713,0.0039625500000000004,0.0048514000000000005,0.0053495999999999995,0.0066864,0,05_resultados\revisao_operacional\campanha_v1\j00024.mat,campanha_v1,,,,,,,,,
j00025,principal,multi_burst,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,3.684339918415115e-15,0,0,0,0,0,53.01776098508628,52.0414967353629,60,43.699876904327134,2450.73225932527,0,0,0.04369987690432713,,,,0.09935640732840056,1908,0,0,5.650235834764317e-11,666566.4016168036,8030487551224027.0,0.0426411,0.048330899999999996,0.05954005,0.0683045,0.0830423,0.0278142,0.036267350000000004,0.046843,0.05563545,0.0661852,0.0125304,0.0113901,0.013375999999999999,0.01490815,0.0281153,0,05_resultados\revisao_operacional\campanha_v1\j00025.mat,campanha_v1,,,,,,,,,
j00026,principal,diploee_facility_stress,heuristico,{},2.6737464414123338,2.6737464414123338,1,0.07310999947789754,0.07232335768168296,100,0,0,0,59.177224605032066,59.177224605032066,60,3.9081831260976307,201.2206660841739,0,0,0.003908183126097631,979,43,60,nan,0,nan,nan,nan,nan,nan,4.46e-05,8.1e-06,1.01e-05,1.13e-05,0.0001386,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00026.mat,campanha_v1,,,,,,,,,
j00027,principal,diploee_facility_stress,heuristico_foresight,{},2.6737464414123338,2.6737464414123338,1,0.07249888774416312,0.0719526996789059,100,0,0,0,59.175863815274646,59.175863815274646,60,3.9146468774454704,201.2206660841739,0,0,0.00391464687744547,979,43,59.998767865344405,nan,0,nan,nan,nan,nan,nan,7.37e-05,8.9e-06,1.12e-05,1.4e-05,7.37e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00027.mat,campanha_v1,,,,,,,,,
j00028,principal,diploee_facility_stress,miope_qp,{},6.974137104975853e-05,0,1,2.9411042934704695e-06,0,0,0,0,0,59.07471466133636,59.07471466133636,60.02258594047845,5.614297038841392,379.5822436915563,0,0,0.005614297038841392,979,0,59.91784129376295,nan,0,nan,nan,nan,nan,nan,0.0011685,0.0005957,0.00079075,0.00103815,0.0013645,0.0010315,0.0005310499999999999,0.0007093500000000001,0.00092275,0.0012305,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00028.mat,campanha_v1,,,,,,,,,
j00029,principal,diploee_facility_stress,mpc_qp_v5,{},0.0022154515462489144,0,1,6.154032119793264e-07,0,0,0,0,0,58.73566828778374,58.73566828778374,60.00001632939784,6.0057391528575845,179.57627151875275,0,0,0.006005739152857585,979,0,59.89664270420349,3.395371521719426e-06,842,0,0,6.821210263296962e-13,333283.200808402,4015243775612013.0,0.0202286,0.018970050000000002,0.030740299999999998,0.032509300000000005,0.0363976,0.0143162,0.0148076,0.0264709,0.02786945,0.0308192,0.0043623,0.00389945,0.00483525,0.0051441,0.0058121,0,05_resultados\revisao_operacional\campanha_v1\j00029.mat,campanha_v1,,,,,,,,,
j00030,principal,diploee_facility_stress,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,4.377196907403815e-15,0,0,0,0,0,52.00797358065088,52.00797358065088,60,37.962125491908296,1041.8607542389925,0,0,0.0379621254919083,979,0,55.401073322425084,7.105427357601002e-15,0,0,0,1.6905232769204304e-10,666566.4016168036,8030487551224027.0,0.043251,0.05553735,0.06680225000000001,0.0702381,0.0819077,0.0292064,0.04352375,0.0541419,0.0575033,0.0675512,0.0111147,0.011476150000000001,0.01312315,0.0142472,0.0264853,0,05_resultados\revisao_operacional\campanha_v1\j00030.mat,campanha_v1,,,,,,,,,
