id,group,scenario,ctrl,trial,forecast_shift,forecast_load_factor,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00860,montecarlo,perda_fonte,mpc_qp_v5,23,10,0.8877844464531203,{},376.91671941026965,376.91671941026965,1,14.605989513025909,14.602335745313198,150,150,150,150,57.18184299575889,55.8104993567364,60.03791846206824,27.49740970343597,1926.4848490421737,0,1.4166666666666665,0.02749740970343597,500,150,59.6579781397516,0.11702790351898074,852,0,0,0.00013676518062766263,333283.200808402,4015243775612013.0,0.0191429,0.020979949999999997,0.0302772,0.038184949999999995,0.0438659,0.0133743,0.0166942,0.025433200000000003,0.03334105,0.0395137,0.0041143,0.00406045,0.004726950000000001,0.00506575,0.0054931,0,05_resultados\revisao_operacional\campanha_v1\j00860.mat,campanha_v1
j00861,montecarlo,perda_fonte,mpc_qp_estocastico_3cen,23,10,0.8877844464531203,{},350.0347478517644,350.0347478517644,1,14.583357864304872,14.583357864304872,150,150,150,150,55.50883505917983,55.438728227574295,60.013791686932734,22.17312258215372,1454.3621801415643,0,0.08333333333333334,0.02217312258215372,500,150,59.30362280390448,0.11711457210659404,1271,0,0,0.004139969738446325,666566.4016168036,8030487551224027.0,0.0420627,0.053840200000000005,0.0756844,0.11478925,0.1936838,0.0277979,0.041272550000000005,0.0619134,0.10114690000000001,0.1788231,0.011645,0.012723499999999999,0.0167256,0.0201138,0.0349338,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00861.mat,evento_adiantado_corrigido_v1
j00862,montecarlo,perda_fonte,heuristico,24,-3,1.1032016136250562,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,3.95e-05,7.8e-06,9.849999999999999e-06,1.22e-05,4.92e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00862.mat,campanha_v1
j00863,montecarlo,perda_fonte,heuristico_foresight,24,-3,1.1032016136250562,{},380.58477114645683,380.58477114645683,1,14.604925281912353,14.604925281912351,150,150,150,150,54.72401011196135,54.72401011196135,60,25.06095196818048,772.5987897812079,0,0,0.025060951968180478,500,150,59.143150078924236,nan,0,nan,nan,nan,nan,nan,4.22e-05,8.3e-06,1.09e-05,1.33e-05,4.53e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00863.mat,campanha_v1
j00864,montecarlo,perda_fonte,miope_qp,24,-3,1.1032016136250562,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0011955,0.0005681,0.0006414000000000001,0.0008066,0.0011955,0.0010606,0.0005058,0.0005714,0.0007043,0.0010606,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00864.mat,campanha_v1
j00865,montecarlo,perda_fonte,mpc_qp_v5,24,-3,1.1032016136250562,{},350.0906554039798,350.0906554039798,1,14.58339733339384,14.583397333393838,150,150,150,150,53.37481436211462,53.37481436211462,60,31.46963177995466,1676.6754793272978,0,2,0.03146963177995466,500,150,58.601577731557875,7.105427357601002e-15,0,0,0,0.00046873959217919037,333283.2021354289,4843142611315303.0,0.0247497,0.027255849999999998,0.033478850000000004,0.044456999999999997,0.0927161,0.0179934,0.0226192,0.028682199999999998,0.03968325,0.0878114,0.0045976,0.004348599999999999,0.0050294499999999995,0.00537815,0.0062324,0,05_resultados\revisao_operacional\campanha_v1\j00865.mat,campanha_v1
j00866,montecarlo,perda_fonte,mpc_qp_estocastico_3cen,24,-3,1.1032016136250562,{},350.0000075581331,350.0000075581331,1,14.58333333868083,14.583333338680827,150,150,150,150,43.787625695390076,43.787625695390076,60,77.00877794689774,2487.908086064624,0,0.4166666666666667,0.07700877794689774,500,150,53.717246818262936,7.105427357601002e-15,0,0,0,4.391899233269214e-05,666566.4042708572,9686285222630616.0,0.0521815,0.06881865,0.09198245,0.11322594999999999,0.1581846,0.0355911,0.05517735,0.07692695,0.0999803,0.1455814,0.0134747,0.01277645,0.01587375,0.02216395,0.0629725,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00866.mat,evento_adiantado_corrigido_v1
j00867,montecarlo,perda_fonte,heuristico,25,2,1.1184643625841586,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,3.89e-05,7.8e-06,1.2450000000000001e-05,2.0700000000000002e-05,4.65e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00867.mat,campanha_v1
j00868,montecarlo,perda_fonte,heuristico_foresight,25,2,1.1184643625841586,{},569.0495958777303,569.0495958777303,1,14.737975903251483,14.737975903251481,150,150,150,150,54.088189889957576,54.088189889957576,60,28.081098022715725,761.151728061881,0,0,0.028081098022715724,500,150,58.867587626448866,nan,0,nan,nan,nan,nan,nan,4.45e-05,8.2e-06,1.09e-05,1.54e-05,4.45e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00868.mat,campanha_v1
j00869,montecarlo,perda_fonte,miope_qp,25,2,1.1184643625841586,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0011831,0.0005639,0.0006649,0.00084165,0.0011831,0.0010477,0.00050205,0.00058835,0.0007512,0.0010477,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00869.mat,campanha_v1
j00870,montecarlo,perda_fonte,mpc_qp_v5,25,2,1.1184643625841586,{},350.4755160302665,350.4755160302665,1,14.583669033670336,14.583669033670331,150,150,150,150,52.740216696283774,52.740216696283774,60,34.48397069265266,1351.7248232922739,0,2.25,0.03448397069265266,500,150,58.33776660697516,7.105427357601002e-15,0,0,0,1.295510401178035e-07,333283.2021354289,4843142611315303.0,0.0232572,0.027343850000000003,0.034694100000000005,0.0442342,0.0507576,0.0164185,0.02275245,0.029856800000000003,0.039387450000000004,0.0461557,0.0050751,0.0044046,0.00512195,0.005648149999999999,0.0067981,0,05_resultados\revisao_operacional\campanha_v1\j00870.mat,campanha_v1
