id,group,scenario,ctrl,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign,recovery_event_starts_s,recovery_s,SOC_at_events
j00568,windows,diploee_facility_window05,heuristico_foresight,{},4.320993654607619,4.320993654607619,1,0.13603777004552714,0.12240002258236919,169,0,0,0,57.61484804887706,57.61484804887706,60,13.26479010699062,849.0367937082602,0,0,0.01326479010699062,nan,0,nan,nan,nan,nan,nan,4.55e-05,8.5e-06,1.09e-05,1.145e-05,4.55e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00568.mat,campanha_v1,,,
j00569,windows,diploee_facility_window05,miope_qp,{},6.870774546996472e-05,0,1,6.907218164160774e-06,0,0,0,0,0,57.81768147398646,57.81768147398646,60.01641145747903,16.18258912706234,1378.736926332021,0,0,0.01618258912706234,nan,0,nan,nan,nan,nan,nan,0.0012816,0.0005865499999999999,0.0006979,0.0008798,0.0012816,0.0011171,0.0005223,0.0006225499999999999,0.0008022999999999999,0.0011171,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00569.mat,campanha_v1,,,
j00570,windows,diploee_facility_window05,mpc_qp_v5,{},0.1446372893441108,0,1,4.4648636518516724e-05,0,0,0,0,0,57.254892527310965,57.254892527310965,60,20.12099663448016,536.4725520446065,0,0,0.02012099663448016,0.014494338874207813,768,0,0,1.000444171950221e-11,333283.200808402,4015243775612013.0,0.0202099,0.026149949999999998,0.034151,0.038211049999999996,0.042261,0.0146232,0.0216405,0.0290838,0.03333655,0.0375073,0.003962,0.0041227,0.0049846,0.0054801,0.0101599,0,05_resultados\revisao_operacional\campanha_v1\j00570.mat,campanha_v1,,,
j00571,windows,diploee_facility_window05,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,4.4269988909285806e-15,0,0,0,0,0,48.16051186937886,48.16051186937886,60,58.33460823061076,1585.4501836545924,0,0,0.05833460823061076,0.01975166589335231,2285,0,0,0.0033139544295863743,666566.4042708572,8858386386927326.0,0.0551195,0.058705999999999994,0.06832289999999999,0.07100515,0.0857337,0.0402338,0.045915,0.0550743,0.057854100000000006,0.0619492,0.0119899,0.012485099999999999,0.01374565,0.01467885,0.0270386,0,05_resultados\revisao_operacional\campanha_v1\j00571.mat,campanha_v1,,,
j00572,windows,diploee_facility_window06,heuristico,{},4.4621764631200165,4.4621764631200165,1,0.13750634572515275,0.12744989163558554,211,0,0,0,59.504145921006554,59.20373193882382,60,6.807799675011033,832.2239521211322,0,0,0.006807799675011033,nan,0,nan,nan,nan,nan,nan,4.42e-05,8.1e-06,9.3e-06,1.235e-05,4.42e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00572.mat,campanha_v1,,,
j00573,windows,diploee_facility_window06,heuristico_foresight,{},4.4621757177039,4.4621757177039,1,0.11628666273166746,0.10588656654088159,179,0,0,0,59.50351462160269,59.16870701928637,60,6.841291849801537,832.2239521211325,0,0,0.006841291849801537,nan,0,nan,nan,nan,nan,nan,5.06e-05,9.2e-06,1.5799999999999998e-05,2.08e-05,5.06e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00573.mat,campanha_v1,,,
j00574,windows,diploee_facility_window06,miope_qp,{},6.942802372122969e-05,0,1,3.537020155741137e-06,0,0,0,0,0,59.71432490722464,59.14620393618931,60,9.535023790246088,1587.3670957242407,0,0,0.009535023790246087,nan,0,nan,nan,nan,nan,nan,0.0012807,0.0006148,0.0007705500000000001,0.0009621,0.0018486,0.0011185,0.0005461,0.0006813500000000001,0.00087055,0.0017629,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00574.mat,campanha_v1,,,
j00575,windows,diploee_facility_window06,mpc_qp_v5,{},0.01287281179367028,0,1,6.795925230643528e-06,0,0,0,0,0,58.91278357603603,58.29683602697892,60,11.678601942116313,688.7108241908137,0,0,0.011678601942116312,0.014325691785494143,2914,0,0,7.958078640513122e-13,333283.200808402,4015243775612013.0,0.0213477,0.024836900000000002,0.032651700000000006,0.0357511,0.0497221,0.0147576,0.0202375,0.027711399999999997,0.030488750000000002,0.0346892,0.0046082,0.00421995,0.0050049,0.00571935,0.0188378,0,05_resultados\revisao_operacional\campanha_v1\j00575.mat,campanha_v1,,,
j00576,windows,diploee_facility_window06,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,4.7813257982494876e-15,0,0,0,0,0,50.00829131248289,50.00829131248289,60,47.643027244398965,1945.077833650831,0,0,0.047643027244398964,0.02852496640890223,1836,0,0,1.787157088983804e-10,666566.4042708572,8858386386927326.0,0.0530246,0.05818105,0.06756424999999999,0.07721919999999999,0.102412,0.0375185,0.0452265,0.0544718,0.062421950000000004,0.0712334,0.0127345,0.012448500000000001,0.01331645,0.01501335,0.0394069,0,05_resultados\revisao_operacional\campanha_v1\j00576.mat,campanha_v1,,,
j00577,windows,diploee_facility_window07,heuristico,{},7.3150308823802135,7.3150308823802135,1,0.11495073801703859,0.1119934725685628,84,0,0,0,58.60021665745591,58.60021665745591,60,6.672255114259338,529.3887154511351,0,0,0.0066722551142593374,nan,0,nan,nan,nan,nan,nan,4.3e-05,8.1e-06,9.75e-06,1.59e-05,4.3e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00577.mat,campanha_v1,,,
j00578,windows,diploee_facility_window07,heuristico_foresight,{},7.315030238808788,7.315030238808788,1,0.11375132244832735,0.11081906309732995,83,0,0,0,58.597545865081166,58.597545865081166,60,6.68494137803959,529.388715451135,0,0,0.00668494137803959,nan,0,nan,nan,nan,nan,nan,4.83e-05,9.1e-06,1.02e-05,1.1949999999999999e-05,4.83e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00578.mat,campanha_v1,,,
j00579,windows,diploee_facility_window07,miope_qp,{},7.090811072885117e-05,0,1,4.653242664782766e-06,0,0,0,0,0,58.79374453126435,58.79374453126435,60.06749498484231,9.89872443470349,1381.9892072595032,0,0,0.009898724434703491,nan,0,nan,nan,nan,nan,nan,0.0014092,0.00063725,0.0008953,0.0010503499999999998,0.0014092,0.001234,0.0005673,0.00079615,0.00095735,0.001234,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00579.mat,campanha_v1,,,
j00580,windows,diploee_facility_window07,mpc_qp_v5,{},1.4510352861306828,1.4510352861306828,1,0.0005024486809910112,0.000403065357258523,1,0,0,0,58.704957543446156,58.704957543446156,60.041446584448714,15.591223780146636,643.3600826177078,0,0,0.015591223780146636,0.01446254683905579,801,0,0,9.094947017729282e-13,333283.200808402,4015243775612013.0,0.0230514,0.02393005,0.0326595,0.035461099999999995,0.0415766,0.0165275,0.019220300000000003,0.0279378,0.0303919,0.0336843,0.0046607,0.00427015,0.00505795,0.0054482,0.0124503,0,05_resultados\revisao_operacional\campanha_v1\j00580.mat,campanha_v1,,,
j00581,windows,diploee_facility_window07,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,4.3102789855827454e-15,0,0,0,0,0,50.18443806283527,50.18443806283527,60,48.440578672836466,2043.2525182116865,0,0,0.048440578672836465,0.026558932206640407,4767,0,0,4.856701707467437e-10,666566.4042708572,8858386386927326.0,0.0512817,0.059848,0.0682604,0.0711874,0.0753059,0.0370428,0.04668355,0.0549963,0.057830450000000005,0.0620821,0.0115796,0.012583,0.0139852,0.0157497,0.0194634,0,05_resultados\revisao_operacional\campanha_v1\j00581.mat,campanha_v1,,,
j00582,windows,diploee_facility_window08,heuristico,{},67.90178713197719,67.90178713197719,1,0.2396581611645205,0.19825860728560638,242,1,0,0,57.41173467138039,57.21419611872278,60,18.426616343114596,1437.9791536334942,0,0,0.018426616343114596,nan,0,nan,nan,nan,nan,nan,4.56e-05,8e-06,1e-05,1.62e-05,5.21e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00582.mat,campanha_v1,,,
j00583,windows,diploee_facility_window08,heuristico_foresight,{},67.90178713197719,67.90178713197719,1,0.20124370380390397,0.16633641373695052,186,1,0,0,57.34216891078262,57.17157624888849,60,18.0858294946985,1437.9791536334944,0,0,0.018085829494698502,nan,0,nan,nan,nan,nan,nan,4.65e-05,8.8e-06,9.9e-06,1.24e-05,4.65e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00583.mat,campanha_v1,,,
j00584,windows,diploee_facility_window08,miope_qp,{},64.73479992866109,64.73479992866109,1,0.01799168503208725,0.017981888869072524,1,1,0,0,57.597799752746084,57.396397359199014,60,19.490889594261976,1754.873711462968,0,0,0.019490889594261977,nan,0,nan,nan,nan,nan,nan,0.0012395,0.0005859999999999999,0.0007876000000000001,0.0009597,0.0012395,0.0010998,0.000521,0.00070615,0.00084825,0.0010998,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00584.mat,campanha_v1,,,
j00585,windows,diploee_facility_window08,mpc_qp_v5,{},2.962438079977602,2.962438079977602,1,0.0008283962885580873,0.000822899466660445,1,0,0,0,55.967395323906146,55.9082459299158,60,23.40721029504456,1545.8994423766671,0,0,0.02340721029504456,0.014580296158278827,5854,0,0,1.4779288903810084e-12,333283.2021354289,4843142611315303.0,0.0254795,0.028561999999999997,0.03554505,0.038776149999999995,0.0459923,0.0195466,0.02385485,0.0304694,0.03360235,0.0402885,0.00404,0.00436255,0.0053209,0.0057816,0.0069347,0,05_resultados\revisao_operacional\campanha_v1\j00585.mat,campanha_v1,,,
j00586,windows,diploee_facility_window08,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,4.53484472195953e-15,0,0,0,0,0,45.20354290323708,45.20354290323708,60,70.30770695099581,2185.06532233141,0,0,0.07030770695099581,0.027113221396056986,506,0,0,3.56180862581823e-10,666566.4042708572,9686285222630616.0,0.0578395,0.060743000000000005,0.06887499999999999,0.07422915,0.1015816,0.0422284,0.0478231,0.055640499999999996,0.0597564,0.0670531,0.0127949,0.01260095,0.013995150000000001,0.016279000000000002,0.0376502,0,05_resultados\revisao_operacional\campanha_v1\j00586.mat,campanha_v1,,,
j00587,windows,diploee_facility_window09,heuristico,{},7.2778383995882905,7.2778383995882905,1,0.20646234590915322,0.18823419158688043,262,0,0,0,58.993328037735466,58.3590181367891,60,17.274171765839913,1431.3499240656552,0,0,0.017274171765839914,nan,0,nan,nan,nan,nan,nan,4.3e-05,7.9e-06,9e-06,1.005e-05,4.3e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00587.mat,campanha_v1,,,
j00588,windows,diploee_facility_window09,heuristico_foresight,{},7.277790775762142,7.277790775762142,1,0.17331565210873404,0.15525660573642192,213,0,0,0,58.936497920605845,58.30218801965948,60,17.01360013107215,1410.3028876839255,0,0,0.01701360013107215,nan,0,nan,nan,nan,nan,nan,4.51e-05,8.9e-06,1.67e-05,2.005e-05,5.51e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00588.mat,campanha_v1,,,
