id,group,scenario,ctrl,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00474,plant_sensitivity,multi_burst,miope_qp,"{""SOC_initial"": 30, ""tau_b"": 2}",158.5381947588547,158.5381947588547,1,0.19479826866313088,0.19479523523034845,6,6,3,0,31.29681810445521,29.966298523741926,31.29681810445521,22.471032532384083,3944.1391915246536,0,0,0.022471032532384083,,,,nan,0,nan,nan,nan,nan,nan,0.001089,0.0005403,0.0007203,0.0008346,0.001089,0.0009383,0.0004673,0.00063295,0.0007506,0.0009585,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00474.mat,campanha_v1
j00475,plant_sensitivity,multi_burst,mpc_qp_v5,"{""SOC_initial"": 30, ""tau_b"": 2}",0.018618173461305787,0,1,1.8085830888836037e-05,0,0,0,0,0,29.40437371428312,28.32092560720833,30.412640139522466,24.020655545456794,1262.3932741256313,0,0,0.024020655545456793,,,,0.04372617250398392,2329,0,0,3.410605131648481e-13,333283.200808402,4015243775612013.0,0.0308027,0.0262077,0.0316084,0.03322845,0.0363541,0.0240458,0.0213819,0.026592949999999997,0.0284134,0.0314534,0.0044234,0.004355400000000001,0.0051386,0.0055056,0.0117425,0,05_resultados\revisao_operacional\campanha_v1\j00475.mat,campanha_v1
j00476,plant_sensitivity,multi_burst,mpc_qp_estocastico_3cen,"{""SOC_initial"": 30, ""tau_b"": 2}",5.684341886080802e-14,0,1,3.755020985509974e-15,0,0,0,0,0,23.36551565965163,22.387023283579616,30.17784820620927,43.85142357506272,2556.1030579554626,0,0,0.04385142357506272,,,,0.09935074336210192,3444,0,0,8.049028110690415e-11,666566.4016168036,8030487551224027.0,0.0599438,0.05547,0.06885469999999999,0.07568405,0.1233105,0.0431495,0.04183265,0.0538579,0.060920600000000005,0.0732924,0.0139547,0.01301405,0.01590265,0.0198413,0.0670307,0,05_resultados\revisao_operacional\campanha_v1\j00476.mat,campanha_v1
j00477,plant_sensitivity,perda_fonte,heuristico,"{""SOC_initial"": 30, ""tau_b"": 4}",700.4603523821322,700.4603523821322,1,15.02343479135681,15.02343479135681,150,150,150,150,29.25627364762129,27.837312508383683,31.310153413663947,30.859755104826263,950,0,0,0.03085975510482626,500,150,31.310153413663947,nan,0,nan,nan,nan,nan,nan,7.87e-05,8e-06,9.3e-06,1.1099999999999999e-05,7.87e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00477.mat,campanha_v1
j00478,plant_sensitivity,perda_fonte,heuristico_foresight,"{""SOC_initial"": 30, ""tau_b"": 4}",386.5692096796387,386.5692096796387,1,14.629256252686064,14.629256252686064,150,150,150,150,28.781257244094707,27.366361796727844,31.236332006934404,32.33618720533001,950,0,0,0.03233618720533001,500,150,30.954524841040435,nan,0,nan,nan,nan,nan,nan,4.33e-05,8.9e-06,1.01e-05,1.4700000000000002e-05,5e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00478.mat,campanha_v1
j00479,plant_sensitivity,perda_fonte,miope_qp,"{""SOC_initial"": 30, ""tau_b"": 4}",711.5196654882585,711.5196654882585,1,15.039390419667587,15.039390347755498,151,150,150,150,29.265644424558786,27.83040920604453,31.318156919427782,31.058339206686238,1562.0172810325034,0,0,0.03105833920668624,500,158,31.318156919427782,nan,0,nan,nan,nan,nan,nan,0.0010919,0.0005127,0.0006833500000000001,0.0008707,0.0012423,0.00094,0.00044405,0.00059615,0.00075555,0.0010563,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00479.mat,campanha_v1
j00480,plant_sensitivity,perda_fonte,mpc_qp_v5,"{""SOC_initial"": 30, ""tau_b"": 4}",350.00359070357877,350.00359070357877,1,14.583337842487452,14.583337842487452,150,150,150,150,27.802517968770886,26.411581767529334,31.144870209096304,35.82946962553682,950.0937123970034,0,0,0.03582946962553682,500,150,30.088353050471714,0.11141641348293518,832,0,0,7.958078640513122e-13,333283.200808402,3903314509184172.5,0.0300576,0.0275066,0.034512249999999994,0.04421865,0.0555357,0.0237208,0.02307865,0.0292777,0.03919275,0.0494555,0.0044902,0.0041135,0.00495815,0.005475799999999999,0.0076798,0,05_resultados\revisao_operacional\campanha_v1\j00480.mat,campanha_v1
j00481,plant_sensitivity,perda_fonte,mpc_qp_estocastico_3cen,"{""SOC_initial"": 30, ""tau_b"": 4}",350.00076437573784,350.00076437573784,1,14.583334293234724,14.583334293234724,150,150,150,150,20.001690178477887,20.001690178477887,30,47.491971652230255,1054.9543858457216,0,0,0.04749197165223026,500,150,26.220816334380018,7.105427357601002e-15,0,0,0,3.979039320256561e-13,666566.4042708572,8596558524070728.0,0.0504723,0.05313185,0.08329015000000001,0.11049215000000001,0.1175857,0.0362061,0.041474449999999996,0.07169234999999999,0.0988445,0.1057355,0.0111755,0.01145715,0.012878549999999999,0.01452845,0.0469769,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00481.mat,evento_adiantado_corrigido_v1
j00482,plant_sensitivity,multi_burst,heuristico,"{""SOC_initial"": 30, ""tau_b"": 4}",233.64023492033988,233.64023492033988,1,1.0754551029671766,1.069699805094769,102,25,12,0,35.21534280199351,30,35.21534280199351,41.83910126254025,2350,0,0,0.04183910126254025,,,,nan,0,nan,nan,nan,nan,nan,3.8e-05,8e-06,9.35e-06,1.41e-05,3.8e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00482.mat,campanha_v1
j00483,plant_sensitivity,multi_burst,heuristico_foresight,"{""SOC_initial"": 30, ""tau_b"": 4}",77.88007830712894,77.88007830712894,1,0.24749606361189577,0.24200627048411075,69,4,0,0,34.103101835122196,30,34.103101835122196,40.668491766815244,2250,0,0,0.040668491766815244,,,,nan,0,nan,nan,nan,nan,nan,4.52e-05,9.2e-06,1.1e-05,1.595e-05,4.52e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00483.mat,campanha_v1
j00484,plant_sensitivity,multi_burst,miope_qp,"{""SOC_initial"": 30, ""tau_b"": 4}",176.60407904438432,176.60407904438432,1,0.3047060439929854,0.3047041862838243,9,9,6,0,31.248016943811784,29.93135482927984,31.248016943811784,22.5170290104255,5308.427726277496,0,0,0.022517029010425498,,,,nan,0,nan,nan,nan,nan,nan,0.0010939,0.000578,0.0012503,0.0017361999999999998,0.0037852,0.0009428,0.00049905,0.0010741000000000001,0.00152115,0.0032789,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00484.mat,campanha_v1
j00485,plant_sensitivity,multi_burst,mpc_qp_v5,"{""SOC_initial"": 30, ""tau_b"": 4}",0.020000025671436106,0,1,1.9306509541436128e-05,0,0,0,0,0,29.407606785985518,28.32774556173971,30.41180208180139,23.92929992511273,1284.0181118582386,0,0,0.02392929992511273,,,,0.04178117487648336,2282,0,0,3.399236447876319e-11,333283.200808402,3903314509184172.5,0.0315764,0.02595065,0.03241135,0.0346949,0.0431691,0.0243793,0.0212778,0.02710075,0.028766649999999998,0.0348264,0.0049271,0.00418885,0.00536565,0.0064750499999999996,0.009598,0,05_resultados\revisao_operacional\campanha_v1\j00485.mat,campanha_v1
j00486,plant_sensitivity,multi_burst,mpc_qp_estocastico_3cen,"{""SOC_initial"": 30, ""tau_b"": 4}",5.684341886080802e-14,0,1,3.94289539289932e-15,0,0,0,0,0,23.347927577844764,22.3788907582986,30.18057115928806,43.846817026929266,2647.033665511641,0,0,0.04384681702692927,,,,0.095158441144509,3225,0,0,2.3972006601979956e-09,666566.4016168036,7806629018368347.0,0.0564894,0.0527804,0.06727295,0.08115635,0.1239957,0.0410557,0.0396722,0.05271055,0.060767699999999994,0.081894,0.0121303,0.012199149999999999,0.0159355,0.022203,0.0587424,0,05_resultados\revisao_operacional\campanha_v1\j00486.mat,campanha_v1
j00487,plant_sensitivity,perda_fonte,heuristico,"{""SOC_initial"": 45, ""tau_b"": 1}",515.545748527149,515.545748527149,1,14.656080421691998,14.656080421691998,150,150,150,37,44.261297893747454,42.817057379719785,46.31790867257908,31.1666709390115,950,0,0,0.0311666709390115,500,150,46.31790867257908,nan,0,nan,nan,nan,nan,nan,3.97e-05,8e-06,1e-05,1.05e-05,3.97e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00487.mat,campanha_v1
j00488,plant_sensitivity,perda_fonte,heuristico_foresight,"{""SOC_initial"": 45, ""tau_b"": 1}",352.85463020931036,352.85463020931036,1,14.584587766249404,14.584587766249404,150,150,150,33,43.786684834755974,42.34761830585586,46.24146203661419,32.60380280275601,950,0,0,0.03260380280275601,500,150,45.894629841824916,nan,0,nan,nan,nan,nan,nan,5.65e-05,9.1e-06,1.57e-05,2.4900000000000002e-05,9.99e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00488.mat,campanha_v1
