id,group,scenario,ctrl,forecast_shift,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00226,timing,perda_fonte,miope_qp,-15,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012411,0.00061125,0.0007203,0.0009448,0.0012411,0.0010991,0.00054365,0.0006341999999999999,0.0008468,0.0010991,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00226.mat,campanha_v1
j00227,timing,perda_fonte,mpc_qp_v5,-15,{},350.0001435266688,350.0001435266688,1,14.583333434679744,14.583333434679743,150,150,150,150,56.922383048318096,55.52863728975905,60,28.574476866059477,1733.541661653065,0,2.4166666666666665,0.028574476866059476,500,150,59.16964434323266,0.014570779536043688,733,0,0,0.0054509516215830445,333283.200808402,4015243775612013.0,0.0223651,0.02661185,0.03566,0.0417909,0.0630228,0.0155433,0.02165165,0.0303094,0.0368034,0.0581354,0.0046401,0.0046259,0.0050656,0.00531745,0.0057579,0,05_resultados\revisao_operacional\campanha_v1\j00227.mat,campanha_v1
j00228,timing,perda_fonte,mpc_qp_estocastico_3cen,-15,{},350.0000000050963,350.0000000050963,1,14.583333333348838,14.583333333348834,150,150,150,150,49.14030766832423,49.14030766832423,60,51.58353857545957,831.9827313500928,0,0,0.05158353857545957,500,150,55.93647265380494,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0480494,0.0535746,0.07314925,0.11236245,0.122597,0.0334159,0.04132455,0.05443745,0.09923055,0.1101526,0.0117215,0.011850900000000001,0.01304845,0.01407905,0.0243292,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00228.mat,evento_adiantado_corrigido_v1
j00229,timing,perda_fonte,heuristico,-14,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4.51e-05,1.75e-05,1.87e-05,2.06e-05,4.51e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00229.mat,campanha_v1
j00230,timing,perda_fonte,heuristico_foresight,-14,{},350.0113676817691,350.0113676817691,1,14.583341358582208,14.583341358582208,150,150,150,150,57.21415766298328,55.78284457889141,60,27.564715008643827,850,0,0,0.027564715008643825,500,150,59.34677789914925,nan,0,nan,nan,nan,nan,nan,4.58e-05,9.6e-06,1.15e-05,1.275e-05,5.47e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00230.mat,campanha_v1
j00231,timing,perda_fonte,miope_qp,-14,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0013232,0.0006255,0.00077155,0.0011102,0.0015457,0.001155,0.0005546,0.00067305,0.0009883499999999998,0.0014023,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00231.mat,campanha_v1
j00232,timing,perda_fonte,mpc_qp_v5,-14,{},350.000155055576,350.000155055576,1,14.583333442818915,14.583333442818915,150,150,150,150,56.93851495957455,55.544769274477304,60,28.49784955200729,1785.8475165290336,0,2.3333333333333335,0.02849784955200729,500,150,59.18577632914039,0.014570778227948722,733,0,0,0.0044857222705445565,333283.200808402,4015243775612013.0,0.0242282,0.026706550000000003,0.035361649999999994,0.0419507,0.1009715,0.0162038,0.02172615,0.03029365,0.03678885,0.0959653,0.0056111,0.0046658,0.005186,0.00540025,0.0060799,0,05_resultados\revisao_operacional\campanha_v1\j00232.mat,campanha_v1
j00233,timing,perda_fonte,mpc_qp_estocastico_3cen,-14,{},350.00000000799264,350.00000000799264,1,14.583333333350973,14.583333333350973,150,150,150,150,49.15786891017348,49.15786891017348,60,51.50012267667569,831.9827305402484,0,0,0.05150012267667569,500,150,55.954033897994094,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0473747,0.053457199999999996,0.06627915,0.11119445,0.1203824,0.0327401,0.041248850000000004,0.0539573,0.0980762,0.1080942,0.0120735,0.011782850000000001,0.01265935,0.013137,0.015075,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00233.mat,evento_adiantado_corrigido_v1
j00234,timing,perda_fonte,heuristico,-13,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4.86e-05,8.2e-06,1.08e-05,1.42e-05,7.35e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00234.mat,campanha_v1
j00235,timing,perda_fonte,heuristico_foresight,-13,{},350.0187421387312,350.0187421387312,1,14.583346564731855,14.583346564731855,150,150,150,150,57.23754947584878,55.806236391756904,60,27.453603897532716,850.0000000000001,0,0,0.027453603897532715,500,150,59.370168615983246,nan,0,nan,nan,nan,nan,nan,5.34e-05,9.5e-06,1.21e-05,1.645e-05,5.34e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00235.mat,campanha_v1
j00236,timing,perda_fonte,miope_qp,-13,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012336,0.000608,0.0007048499999999999,0.0009054,0.0012819,0.0010931,0.0005407,0.0006238,0.00080865,0.0011388,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00236.mat,campanha_v1
j00237,timing,perda_fonte,mpc_qp_v5,-13,{},350.00010111773,350.00010111773,1,14.583333404740541,14.58333340474054,150,150,150,150,56.93865753676203,55.54491185231401,60,28.497172303865607,1693.1489186803374,0,2.083333333333333,0.028497172303865607,500,150,59.18591891501927,0.014570778216395297,733,0,0,0.003327757881038451,333283.200808402,4015243775612013.0,0.0222395,0.026769349999999997,0.03974065,0.04352255,0.0507048,0.0156368,0.02175675,0.03444005,0.037781350000000005,0.0457502,0.0049693,0.00473575,0.0053219,0.0057686000000000005,0.0064128,0,05_resultados\revisao_operacional\campanha_v1\j00237.mat,campanha_v1
j00238,timing,perda_fonte,mpc_qp_estocastico_3cen,-13,{},350.0000000126802,350.0000000126802,1,14.583333333354389,14.583333333354387,150,150,150,150,49.1754299581873,49.1754299581873,60,51.41670769860988,831.982729730381,0,0,0.051416707698609884,500,150,55.971594948347544,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0474142,0.0536011,0.0657528,0.11012649999999999,0.1185858,0.0331207,0.041284650000000006,0.0536662,0.09776195,0.1065505,0.0117678,0.01186185,0.01273005,0.0138776,0.0165022,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00238.mat,evento_adiantado_corrigido_v1
j00239,timing,perda_fonte,heuristico,-12,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4.21e-05,8.3e-06,1.03e-05,1.185e-05,4.76e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00239.mat,campanha_v1
j00240,timing,perda_fonte,heuristico_foresight,-12,{},350.03090056278455,350.03090056278455,1,14.583355148221518,14.583355148221518,150,150,150,150,57.26094128871428,55.8296282046224,60,27.342492786421605,850,0,0,0.027342492786421604,500,150,59.39355862179829,nan,0,nan,nan,nan,nan,nan,4.6e-05,9.2e-06,1.155e-05,1.73e-05,5.61e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00240.mat,campanha_v1
j00241,timing,perda_fonte,miope_qp,-12,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012718,0.0006128,0.0006962,0.0008636,0.0012718,0.0011236,0.0005449,0.0006152,0.0007728,0.0011236,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00241.mat,campanha_v1
j00242,timing,perda_fonte,mpc_qp_v5,-12,{},350.00032992501804,350.00032992501804,1,14.58333356627176,14.583333566271758,150,150,150,150,56.98113244162932,55.58738695063679,60,28.29541456864593,1640.5740162974002,0,2.3333333333333335,0.02829541456864593,500,150,59.22839398697897,0.014570774772231232,733,0,0,2.4355554160138126e-05,333283.200808402,4015243775612013.0,0.0218306,0.02560825,0.032141100000000006,0.0400713,0.1040005,0.0153358,0.02118185,0.02751125,0.035599599999999995,0.0990205,0.0049197,0.00403885,0.0047377,0.00499975,0.0054851,0,05_resultados\revisao_operacional\campanha_v1\j00242.mat,campanha_v1
j00243,timing,perda_fonte,mpc_qp_estocastico_3cen,-12,{},350.0000000203644,350.0000000203644,1,14.58333333335993,14.583333333359928,150,150,150,150,49.19299071777541,49.19299071777541,60,51.33329409056618,831.9827289202155,0,0,0.051333294090566174,500,150,55.9891557102748,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0473074,0.0539095,0.06654145,0.11110225,0.1199304,0.0330064,0.041483900000000004,0.05442045,0.09852325,0.1074317,0.0114419,0.01192625,0.01327865,0.014655350000000001,0.0219375,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00243.mat,evento_adiantado_corrigido_v1
j00244,timing,perda_fonte,heuristico,-11,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4.25e-05,8.2e-06,9.6e-06,1.89e-05,5.97e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00244.mat,campanha_v1
j00245,timing,perda_fonte,heuristico_foresight,-11,{},350.0509464151395,350.0509464151395,1,14.583369300003502,14.583369300003502,150,150,150,150,57.284333101579776,55.8530200174879,60,27.231381675310494,850,0,0,0.027231381675310494,500,150,59.416947455341266,nan,0,nan,nan,nan,nan,nan,4.62e-05,9e-06,1.14e-05,1.22e-05,5.58e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00245.mat,campanha_v1
j00246,timing,perda_fonte,miope_qp,-11,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0011986,0.0006028,0.0006798500000000001,0.00081325,0.0013033,0.0010612,0.0005364,0.0005958999999999999,0.00072485,0.0012298,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00246.mat,campanha_v1
j00247,timing,perda_fonte,mpc_qp_v5,-11,{},350.0003799614508,350.0003799614508,1,14.583333601596095,14.583333601596093,150,150,150,150,56.99872559380227,55.60498018295296,60,28.211846293337352,1548.9802409245349,0,2.3333333333333335,0.028211846293337353,500,150,59.24598721502437,0.01457077334564616,733,0,0,0.0016238232079217596,333283.200808402,4015243775612013.0,0.0210557,0.025494549999999998,0.03194685,0.0398918,0.1024205,0.0151619,0.021020999999999998,0.027659450000000002,0.0354451,0.0981704,0.0042354,0.00405545,0.00467425,0.0049505,0.0078079,0,05_resultados\revisao_operacional\campanha_v1\j00247.mat,campanha_v1
j00248,timing,perda_fonte,mpc_qp_estocastico_3cen,-11,{},350.0000000330682,350.0000000330682,1,14.583333333369016,14.583333333369012,150,150,150,150,49.210551589467364,49.210551589467364,60,51.24987995002975,831.9827281101302,0,0,0.05124987995002975,500,150,56.00671658430516,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0487954,0.05418685,0.06615170000000001,0.11234205,0.121158,0.0333643,0.041808750000000006,0.0542141,0.0997927,0.1090096,0.0128774,0.0118227,0.01314985,0.0140067,0.0174716,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00248.mat,evento_adiantado_corrigido_v1
j00249,timing,perda_fonte,heuristico,-10,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4.32e-05,7.9e-06,1e-05,1.545e-05,5.28e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00249.mat,campanha_v1
j00250,timing,perda_fonte,heuristico_foresight,-10,{},350.0839964383063,350.0839964383063,1,14.583392632347477,14.583392632347477,150,150,150,150,57.307724914445274,55.8764118303534,60,27.12027056419938,850,0,0,0.02712027056419938,500,150,59.44033435613435,nan,0,nan,nan,nan,nan,nan,4.4e-05,8.9e-06,1.13e-05,1.465e-05,4.4e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00250.mat,campanha_v1
