id,ctrl,step_0based,time_s,exitflag,cause,command,P_raw,eq_residual,source
j00077,mpc_qp_v5,470,470,-6,nao_convexo,13.333333333333334,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,471,471,-6,nao_convexo,26.666666666666668,0.0,7.958078640513122e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,472,472,-6,nao_convexo,40.0,3.552713678800501e-14,9.094947017729282e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,473,473,-6,nao_convexo,53.333333333333336,0.0,9.094947017729282e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,474,474,-6,nao_convexo,66.66666666666666,4.973799150320701e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,475,475,-6,nao_convexo,80.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,476,476,-6,nao_convexo,93.33333333333333,4.263256414560601e-14,6.821210263296962e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,477,477,-6,nao_convexo,106.66666666666667,5.684341886080802e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,478,478,-6,nao_convexo,120.0,5.684341886080802e-14,2.2737367544323206e-12,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,480,480,-6,nao_convexo,146.66666666666666,5.684341886080802e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,481,481,-6,nao_convexo,160.0,5.684341886080802e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00078,mpc_qp_estocastico_3cen,460,460,-6,nao_convexo,189.4757575447233,0.0,1.1368683772161603e-13,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00078.mat
j00078,mpc_qp_estocastico_3cen,461,461,-6,nao_convexo,69.47575754472331,2.842170943040401e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00078.mat
j00078,mpc_qp_estocastico_3cen,466,466,-6,nao_convexo,57.849586474311366,4.263256414560601e-14,1.5623832041455898e-06,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00078.mat
j00078,mpc_qp_estocastico_3cen,471,471,-6,nao_convexo,106.8611088430601,5.684341886080802e-14,0.0702002980395946,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00078.mat
j00082,mpc_qp_v5,453,453,-6,nao_convexo,16.514576139391067,0.0,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,456,456,-6,nao_convexo,0.0,4.263256414560601e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,458,458,-6,nao_convexo,0.0,5.3290705182007514e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,461,461,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,462,462,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,463,463,-6,nao_convexo,0.0,0.0,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,464,464,-6,nao_convexo,0.0,3.552713678800501e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,465,465,-6,nao_convexo,0.0,5.10702591327572e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,466,466,-6,nao_convexo,0.0,5.10702591327572e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,467,467,-6,nao_convexo,0.0,3.730349362740526e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,468,468,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
j00082,mpc_qp_v5,470,470,-6,nao_convexo,13.333333333333334,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00082.mat
