id,group,scenario,ctrl,level,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00096,fairness,retorno_fonte,mpc_qp_v5,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",350.06346713024936,350.06346713024936,1,24.305600361517048,24.305600361517048,250,250,250,250,54.82370147202377,53.42994621447497,60,38.54330946834121,1947.0466430049446,0,1.5,0.038543309468341204,400,250,59.410124765336235,0.01457094971199524,733,0,0,0.0009580646940321458,333283.200808402,4015243775612013.0,0.023566,0.02413555,0.03418215,0.0390268,0.0439347,0.0172201,0.02026685,0.030068400000000002,0.03482325,0.0395604,0.0044714,0.00371825,0.00437525,0.0046294000000000005,0.0051646,0,05_resultados\revisao_operacional\campanha_v1\j00096.mat,campanha_v1
j00097,fairness,retorno_fonte,mpc_qp_estocastico_3cen,120,"{""common_slew"": 1, ""dPBESS_ref_max"": 120, ""dPBESS_ref_max_evento"": 120}",350.0002548192691,350.0002548192691,1,24.30555573546988,24.30555573546988,250,250,250,250,47.787645906489814,47.787645906489814,60,58.00868194417611,1551.9827936644026,0,0.25,0.05800868194417611,400,250,56.92299196037828,7.105427357601002e-15,0,0,0,0.010924019401386431,666566.4042708572,8858386386927326.0,0.0497263,0.05458855,0.07946365,0.12026619999999999,0.1364516,0.0340996,0.04190065,0.067232,0.1076905,0.1237288,0.0124108,0.012003,0.0138008,0.01630605,0.0271396,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00097.mat,evento_adiantado_corrigido_v1
j00098,fairness,retorno_fonte,heuristico,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",592.6122638850534,592.6122638850534,1,24.476832675837425,24.476832675837425,250,250,250,250,55.58329020679943,54.14954113465079,60,35.335727358558835,850,0,0,0.03533572735855883,400,250,60,nan,0,nan,nan,nan,nan,nan,4.39e-05,8e-06,1.1e-05,1.66e-05,4.57e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00098.mat,campanha_v1
j00099,fairness,retorno_fonte,heuristico_foresight,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",362.4661767623983,362.4661767623983,1,24.314356309575967,24.314356309575967,250,250,250,250,55.22149683447974,53.787747762331094,60,37.054245877077356,850,0,0,0.037054245877077355,400,250,59.672412178472214,nan,0,nan,nan,nan,nan,nan,4.76e-05,9e-06,1.165e-05,2.235e-05,6.19e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00099.mat,campanha_v1
j00100,fairness,retorno_fonte,miope_qp,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",671.3051915581266,671.3051915581266,1,24.532387567509275,24.532387567509275,250,250,250,250,55.61060514477867,54.16728253487725,60,35.30184274828693,1150.0008032717521,0,0,0.03530184274828693,400,250,59.999978497526065,nan,0,nan,nan,nan,nan,nan,0.0012897,0.0005794,0.00067625,0.0007901,0.0012897,0.0011455,0.000515,0.0006030499999999999,0.0007052499999999999,0.0011455,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00100.mat,campanha_v1
j00101,fairness,retorno_fonte,mpc_qp_v5,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",350.1278250271512,350.1278250271512,1,24.305645796298283,24.305645796298275,250,250,250,250,54.89112136515615,53.497340681419885,60,38.223319572392924,1996.607111157151,0,1.7500000000000002,0.03822331957239292,400,250,59.47750967959638,0.014570933452581869,733,0,0,0.007582820825348335,333283.200808402,4015243775612013.0,0.0203796,0.025272299999999998,0.03438915,0.04144095,0.0545566,0.0138948,0.02117825,0.0297627,0.036983600000000005,0.0502538,0.0042741,0.004037,0.0050279,0.0054837,0.0071183,0,05_resultados\revisao_operacional\campanha_v1\j00101.mat,campanha_v1
j00102,fairness,retorno_fonte,mpc_qp_estocastico_3cen,200,"{""common_slew"": 1, ""dPBESS_ref_max"": 200, ""dPBESS_ref_max_evento"": 200}",350.00011786857544,350.00011786857544,1,24.305555638784842,24.305555638784842,250,250,250,250,47.78181689260965,47.78181689260965,60,58.036369760103234,1659.220462954724,0,0.25,0.058036369760103235,400,250,56.91716296862559,0.1268504404112818,117,0,0,1.7053025658242404e-12,666566.4042708572,8858386386927326.0,0.0449093,0.0535916,0.0704771,0.1141843,0.1458661,0.0303059,0.041166,0.0566168,0.10171575,0.1329326,0.0118033,0.01188165,0.0132029,0.0142205,0.0167011,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00102.mat,evento_adiantado_corrigido_v1
j00103,fairness,retorno_fonte,heuristico,400,"{""common_slew"": 1, ""dPBESS_ref_max"": 400, ""dPBESS_ref_max_evento"": 400}",592.6122638850534,592.6122638850534,1,24.476832675837425,24.476832675837425,250,250,250,250,55.59771860782124,54.16219709954698,60,35.28494013648952,850,0,0,0.035284940136489515,400,250,60,nan,0,nan,nan,nan,nan,nan,3.96e-05,8e-06,1.01e-05,1.2499999999999999e-05,4.72e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00103.mat,campanha_v1
j00104,fairness,retorno_fonte,heuristico_foresight,400,"{""common_slew"": 1, ""dPBESS_ref_max"": 400, ""dPBESS_ref_max_evento"": 400}",362.4661767623983,362.4661767623983,1,24.314356309575967,24.314356309575967,250,250,250,250,55.23592523550155,53.800403727227284,60,37.00345865500803,850,0,0,0.03700345865500803,400,250,59.672412178472214,nan,0,nan,nan,nan,nan,nan,4.99e-05,9e-06,1.16e-05,1.73e-05,5.42e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00104.mat,campanha_v1
j00105,fairness,retorno_fonte,miope_qp,400,"{""common_slew"": 1, ""dPBESS_ref_max"": 400, ""dPBESS_ref_max_evento"": 400}",592.6116694490192,592.6116694490192,1,24.476832256183076,24.476832256183076,250,250,250,250,55.61699085189347,54.17104188372806,60,35.29780877947734,1250.0007895380807,0,0,0.035297808779477344,400,250,59.999977590337714,nan,0,nan,nan,nan,nan,nan,0.0011984,0.0005794,0.0008124,0.00099855,0.0012245,0.0010631,0.0005145,0.0007190499999999999,0.0008897,0.0011426,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00105.mat,campanha_v1
