id,group,scenario,ctrl,weight,factor,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00189,pesos,perda_fonte,mpc_qp_v5,slack_recharge,1,"{""w_mpc_slack_recharge"": 1000000}",350.0673643906158,350.0673643906158,1,14.583380890632919,14.583380890632919,150,150,150,150,57.09765980475696,55.703914844740474,60,27.741904277043087,1655.8768161818073,0,1.5833333333333335,0.027741904277043088,500,150,59.3449119390287,0.014570765323362878,733,0,0,0.003397654078071355,333283.200808402,4015243775612013.0,0.0212151,0.02482495,0.03038835,0.0380104,0.0433505,0.0153273,0.020619850000000002,0.025506349999999997,0.0333348,0.0389472,0.0043176,0.0039185,0.0047034,0.00505535,0.0056157,0,05_resultados\revisao_operacional\campanha_v1\j00189.mat,campanha_v1
j00190,pesos,carga_faixas,mpc_qp_v5,slack_recharge,1,"{""w_mpc_slack_recharge"": 1000000}",0.018079005862091435,0,1,5.021946077643592e-06,0,0,0,0,0,58.800152435350384,57.38583268897276,60,19.86108286620929,358.02293969361654,0,0,0.01986108286620929,400,0,59.62722863278806,0.014627091341246512,489,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.019353,0.02164145,0.02904615,0.0311882,0.0371131,0.0141503,0.017419900000000002,0.0243885,0.02634035,0.0293531,0.00366,0.0039442999999999995,0.0047209,0.00511905,0.0081466,0,05_resultados\revisao_operacional\campanha_v1\j00190.mat,campanha_v1
j00191,pesos,perda_fonte,mpc_qp_v5,slack_recharge,10,"{""w_mpc_slack_recharge"": 10000000}",350.0673643906158,350.0673643906158,1,14.583636424777042,14.583380890632919,150,150,150,150,57.206853452058965,55.776001990440385,60,27.59478771182131,1667.8728141950605,0,1.5833333333333335,0.027594787711821313,500,150,59.3449119390287,0.016056254256106683,281,0,0,0.003397654078071355,333283.200808402,4015243775612013.0,0.0199817,0.0251423,0.03175875,0.0382083,0.0429669,0.0148497,0.0209238,0.0270985,0.03353395000000001,0.0384059,0.0036113,0.00392255,0.0047212,0.0050193500000000005,0.0054466,0,05_resultados\revisao_operacional\campanha_v1\j00191.mat,campanha_v1
j00192,pesos,carga_faixas,mpc_qp_v5,slack_recharge,10,"{""w_mpc_slack_recharge"": 10000000}",0.018079005862091435,0,1,5.021946077484583e-06,0,0,0,0,0,58.89046541827923,57.409098012012066,60,20.10345500224326,365.3054914565499,0,0,0.020103455002243257,400,0,59.62722863278806,0.017184211117942993,172,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.0203639,0.02051625,0.0290463,0.030557,0.033628,0.0138094,0.0162085,0.02453845,0.02599555,0.0293379,0.0041007,0.0039285,0.0047088,0.004993050000000001,0.0057672,0,05_resultados\revisao_operacional\campanha_v1\j00192.mat,campanha_v1
j00193,pesos,perda_fonte,mpc_qp_v5,delta_u,0.1,"{""w_mpc_delta_u"": 5}",350.0475847098886,350.0475847098886,1,14.583393765052636,14.583366926760348,150,150,150,150,57.42649255164818,55.995965506625275,60,26.548253554177254,1049.1617460005095,0,3.166666666666667,0.026548253554177254,500,150,59.56488410867277,0.016040948333206018,281,0,0,0.006274758290999216,333283.200808402,4015243775612013.0,0.0219453,0.0251713,0.03399755,0.0406249,0.0662296,0.0164433,0.02098575,0.0291241,0.035820199999999996,0.0619447,0.0039101,0.0039029,0.004641350000000001,0.0051127,0.0151224,0,05_resultados\revisao_operacional\campanha_v1\j00193.mat,campanha_v1
j00194,pesos,carga_faixas,mpc_qp_v5,delta_u,0.1,"{""w_mpc_delta_u"": 5}",0.005499925028630059,0,1,1.527756957333324e-06,0,0,0,0,0,58.93597122191809,57.48605560674572,60,19.57243376667305,394.03771611031834,0,0,0.01957243376667305,400,0,59.70943721173364,0.016928754229688536,546,0,0,2.2737367544323206e-12,333283.200808402,4015243775612013.0,0.0215237,0.0221774,0.032013650000000005,0.03518465,0.0438468,0.0151248,0.01793825,0.02742175,0.0306769,0.0378295,0.0041044,0.0039882,0.004871250000000001,0.00536285,0.0063276,0,05_resultados\revisao_operacional\campanha_v1\j00194.mat,campanha_v1
j00195,pesos,perda_fonte,mpc_qp_v5,delta_u,1,"{""w_mpc_delta_u"": 50}",350.0673643906158,350.0673643906158,1,14.583380890632919,14.583380890632919,150,150,150,150,57.09765980475696,55.703914844740474,60,27.741904277043087,1655.8768161818073,0,1.5833333333333335,0.027741904277043088,500,150,59.3449119390287,0.014570765323362878,733,0,0,0.003397654078071355,333283.200808402,4015243775612013.0,0.0204071,0.0251744,0.0326207,0.03866115,0.0422285,0.0150066,0.0207873,0.02785875,0.0338496,0.0379369,0.0037711,0.004050649999999999,0.00478365,0.0050402,0.0099208,0,05_resultados\revisao_operacional\campanha_v1\j00195.mat,campanha_v1
j00196,pesos,carga_faixas,mpc_qp_v5,delta_u,1,"{""w_mpc_delta_u"": 50}",0.018079005862091435,0,1,5.021946077643592e-06,0,0,0,0,0,58.800152435350384,57.38583268897276,60,19.86108286620929,358.02293969361654,0,0,0.01986108286620929,400,0,59.62722863278806,0.014627091341246512,489,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.0197038,0.0217677,0.03010485,0.033722749999999996,0.0402883,0.0139624,0.0174688,0.0252723,0.0285549,0.0349441,0.0040803,0.00415255,0.00488835,0.00510285,0.0062226,0,05_resultados\revisao_operacional\campanha_v1\j00196.mat,campanha_v1
j00197,pesos,perda_fonte,mpc_qp_v5,delta_u,10,"{""w_mpc_delta_u"": 500}",350.25815961457727,350.25815961457727,1,14.583515586432208,14.583515586432208,150,150,150,150,56.618747202730525,55.31982606794043,60,29.06725320249286,1863.609299131782,0,0.25,0.02906725320249286,500,150,59.15262580017685,0.009302053792929144,913,0,0,0.0008744200696924054,333283.200808402,4015243775612013.0,0.0192556,0.0221249,0.0312052,0.03776235,0.0455333,0.0136436,0.017825149999999998,0.02676535,0.0331293,0.0412232,0.0039523,0.00398515,0.0046396,0.0049216,0.0081583,0,05_resultados\revisao_operacional\campanha_v1\j00197.mat,campanha_v1
j00198,pesos,carga_faixas,mpc_qp_v5,delta_u,10,"{""w_mpc_delta_u"": 500}",0.025830018219835438,0,1,7.175005065866497e-06,0,0,0,0,0,58.66563714586378,57.326514352435034,60,19.747071528190038,351.79007288116503,0,0,0.01974707152819004,400,0,59.61647546978155,0.009445097990209206,956,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0183415,0.02085405,0.025523900000000002,0.02954375,0.0381226,0.0129726,0.01643115,0.020937749999999998,0.02503135,0.032609,0.0037679,0.0040444999999999995,0.0046095500000000005,0.0048733000000000005,0.0056587,0,05_resultados\revisao_operacional\campanha_v1\j00198.mat,campanha_v1
