cenario,k,SOC,PBESS,uref,Pload,Pmax,grid,u_heur,u_fs,SOC_next,Pnao
carga_faixas,66,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,67,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,68,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,69,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,70,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,71,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,72,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,73,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,74,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,75,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,76,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,77,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,78,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,79,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,80,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,81,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,82,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,83,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,84,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,85,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,86,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,87,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,88,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,89,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,90,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,91,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,92,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,93,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,94,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,95,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,96,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,97,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,98,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,99,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,100,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,101,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,102,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,103,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,104,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,105,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,106,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,107,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,108,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,109,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
